Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,Excess Readmission Ratio_standardized,Predicted Readmission Rate_standardized,Expected Readmission Rate_standardized
LOS ANGELES GENERAL MEDICAL CENTER,CA,Pneumonia,78.0,0.99,17.26,17.38,13,07/01/2020,06/30/2023,-0.3010362204670012,-0.03874768927078359,0.10780100168279184
LAC/HARBOR-UCLA MED CENTER,CA,Pneumonia,78.0,0.98,18.13,18.43,13,07/01/2020,06/30/2023,-0.45794463446109174,0.3441341871053483,0.6701748653545146
GOOD SAMARITAN HOSPITAL,CA,COPD,106.0,1.07,18.57,17.3,24,07/01/2020,06/30/2023,0.9542310914857236,0.5377755958473013,0.06495346921256628
GOOD SAMARITAN HOSPITAL,CA,Pneumonia,565.0,1.04,15.83,15.23,92,07/01/2020,06/30/2023,0.4835058495034518,-0.6680822676821294,-1.0437264334545437
EMANATE HEALTH INTER-COMMUNITY HOSPITAL,CA,Pneumonia,522.0,1.16,21.47,18.45,123,07/01/2020,06/30/2023,2.3664068174325354,1.8140485171010774,0.6808867484720711
EMANATE HEALTH INTER-COMMUNITY HOSPITAL,CA,COPD,84.0,0.98,15.39,15.63,12,07/01/2020,06/30/2023,-0.45794463446109174,-0.8617236764240815,-0.8294887711034112
HEMET GLOBAL MEDICAL CENTER,CA,Pneumonia,169.0,1.01,18.33,18.07,32,07/01/2020,06/30/2023,0.012780607521180043,0.4321530092607809,0.47736096923849586
PIH HEALTH DOWNEY HOSPITAL,CA,Pneumonia,152.0,1.1,18.83,17.18,35,07/01/2020,06/30/2023,1.4249563334679953,0.6522000646493631,0.0006821705072260439
COMMUNITY MEMORIAL HOSPITAL - VENTURA,CA,COPD,89.0,0.95,18.33,19.32,13,07/01/2020,06/30/2023,-0.9286698764433635,0.4321530092607809,1.1468536640857845
COMMUNITY MEMORIAL HOSPITAL - VENTURA,CA,Pneumonia,241.0,0.95,14.65,15.4,32,07/01/2020,06/30/2023,-0.9286698764433635,-1.1873933183991832,-0.9526754269553126
SANTA BARBARA COTTAGE HOSPITAL,CA,Pneumonia,504.0,1.0,14.85,14.81,75,07/01/2020,06/30/2023,-0.14412780647291057,-1.0993744962437506,-1.2686759789232327
MERCY HOSPITAL OF FOLSOM,CA,COPD,123.0,1.12,21.88,19.59,34,07/01/2020,06/30/2023,1.7387731614561766,1.9944871025197148,1.2914640861727986
MERCY HOSPITAL OF FOLSOM,CA,Pneumonia,243.0,0.96,13.72,14.22,31,07/01/2020,06/30/2023,-0.7717614624492729,-1.596680841421946,-1.584676530891153
SUTTER COAST HOSPITAL,CA,Pneumonia,168.0,1.02,16.29,15.9,29,07/01/2020,06/30/2023,0.16968902151527065,-0.46563897672463417,-0.6848783490163972
SCRIPPS GREEN HOSPITAL,CA,Pneumonia,139.0,0.99,14.77,14.88,20,07/01/2020,06/30/2023,-0.3010362204670012,-1.134582025105924,-1.2311843880117845
WEST ANAHEIM MEDICAL CENTER,CA,Pneumonia,326.0,1.11,21.64,19.52,78,07/01/2020,06/30/2023,1.581864747462086,1.888864515933196,1.2539724952613502
WEST ANAHEIM MEDICAL CENTER,CA,COPD,68.0,0.96,19.96,20.78,11,07/01/2020,06/30/2023,-0.7717614624492729,1.14950640982756,1.928821131667418
HUNTINGTON HOSPITAL,CA,Pneumonia,579.0,1.12,19.15,17.04,119,07/01/2020,06/30/2023,1.7387731614561766,0.7930301800980558,-0.07430101131567059
HUNTINGTON HOSPITAL,CA,COPD,133.0,0.96,18.23,18.9,22,07/01/2020,06/30/2023,-0.7717614624492729,0.3881435981830654,0.9219041186170945
STANFORD HEALTH CARE,CA,Pneumonia,654.0,1.04,17.67,17.06,118,07/01/2020,06/30/2023,0.4835058495034518,0.14169089614785388,-0.0635891281981142
STANFORD HEALTH CARE,CA,COPD,108.0,1.01,19.59,19.33,22,07/01/2020,06/30/2023,0.012780607521180043,0.9866715888400087,1.1522096056445617
MERCY MEDICAL CENTER,CA,Pneumonia,546.0,1.01,16.95,16.85,93,07/01/2020,06/30/2023,0.012780607521180043,-0.17517686361170556,-0.17606390093245725
MERCY MEDICAL CENTER,CA,COPD,162.0,0.97,17.81,18.35,27,07/01/2020,06/30/2023,-0.6148530484551824,0.2033040716566556,0.6273273328842891
UCSF MEDICAL CENTER,CA,COPD,95.0,0.96,18.71,19.57,15,07/01/2020,06/30/2023,-0.7717614624492729,0.5993887713561045,1.2807522030552423
UCSF MEDICAL CENTER,CA,Pneumonia,453.0,1.01,17.88,17.63,82,07/01/2020,06/30/2023,0.012780607521180043,0.23411065941105721,0.24169954065224958
ADVENTIST HEALTH BAKERSFIELD,CA,Pneumonia,327.0,1.0,17.22,17.29,56,07/01/2020,06/30/2023,-0.14412780647291057,-0.05635145370187136,0.05959752765378714
ADVENTIST HEALTH BAKERSFIELD,CA,COPD,94.0,0.99,18.88,19.11,17,07/01/2020,06/30/2023,-0.3010362204670012,0.6742047701882217,1.0343788913514396
ST MARY'S MEDICAL CENTER,CA,Pneumonia,110.0,0.97,16.12,16.54,16,07/01/2020,06/30/2023,-0.6148530484551824,-0.5404549755567513,-0.342098089254586
DOCTORS MEDICAL CENTER,CA,Pneumonia,375.0,1.03,17.53,16.96,68,07/01/2020,06/30/2023,0.32659743550936127,0.08007772063905061,-0.11714854378589615
DOCTORS MEDICAL CENTER,CA,COPD,93.0,1.07,21.37,20.02,24,07/01/2020,06/30/2023,0.9542310914857236,1.770039106023362,1.5217695732002656
MEMORIAL HOSPITAL OF GARDENA,CA,COPD,55.0,0.98,22.07,22.45,11,07/01/2020,06/30/2023,-0.45794463446109174,2.0781049835673766,2.8232633719833946
MEMORIAL HOSPITAL OF GARDENA,CA,Pneumonia,169.0,1.07,22.12,20.76,42,07/01/2020,06/30/2023,0.9542310914857236,2.1001096891062354,1.9181092485498616
PIH HEALTH GOOD SAMARITAN HOSPITAL,CA,Pneumonia,200.0,1.07,20.23,18.97,45,07/01/2020,06/30/2023,0.9542310914857236,1.2683318197373943,0.9593957095285429
PIH HEALTH GOOD SAMARITAN HOSPITAL,CA,COPD,55.0,1.01,20.4,20.16,12,07/01/2020,06/30/2023,0.012780607521180043,1.3431478185695114,1.5967527550231624
UCLA WEST VALLEY MEDICAL CENTER,CA,COPD,84.0,1.14,22.78,19.91,28,07/01/2020,06/30/2023,2.0525899894443542,2.390571802219164,1.4628542160537046
UCLA WEST VALLEY MEDICAL CENTER,CA,Pneumonia,388.0,1.17,20.13,17.25,89,07/01/2020,06/30/2023,2.523315231426626,1.2243224086596771,0.03817376141867436
MEMORIALCARE LONG BEACH MEDICAL CENTER,CA,Pneumonia,186.0,0.98,18.48,18.84,33,07/01/2020,06/30/2023,-0.45794463446109174,0.4981671258773565,0.8897684692644254
MEMORIALCARE LONG BEACH MEDICAL CENTER,CA,COPD,72.0,1.07,21.91,20.53,20,07/01/2020,06/30/2023,0.9542310914857236,2.0076899258430303,1.7949225926979604
EDEN MEDICAL CENTER,CA,Pneumonia,243.0,0.95,15.07,15.91,33,07/01/2020,06/30/2023,-0.9286698764433635,-1.0025537918727743,-0.6795224074576189
CLOVIS COMMUNITY MEDICAL CENTER,CA,Pneumonia,583.0,0.95,14.79,15.53,83,07/01/2020,06/30/2023,-0.9286698764433635,-1.1257801428903809,-0.8830481866911951
CLOVIS COMMUNITY MEDICAL CENTER,CA,COPD,139.0,1.06,19.84,18.77,31,07/01/2020,06/30/2023,0.797322677491633,1.0966951165343,0.852276878352977
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CA,Pneumonia,292.0,1.01,17.3,17.18,51,07/01/2020,06/30/2023,0.012780607521180043,-0.021143924839697393,0.0006821705072260439
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CA,COPD,100.0,1.05,19.94,19.0,23,07/01/2020,06/30/2023,0.6404142634975425,1.140704527612017,0.9754635342048784
SUTTER AUBURN FAITH HOSPITAL,CA,Pneumonia,168.0,0.98,14.44,14.72,23,07/01/2020,06/30/2023,-0.45794463446109174,-1.2798130816623883,-1.3168794529522374
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,CA,COPD,91.0,1.01,20.47,20.36,19,07/01/2020,06/30/2023,0.012780607521180043,1.373954406323913,1.7038715861987281
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,CA,Pneumonia,364.0,0.92,14.62,15.81,48,07/01/2020,06/30/2023,-1.3993951184256337,-1.2005961417224986,-0.7330818230454018
TENET HEALTH CENTRAL COAST SIERRA VISTA RMC,CA,Pneumonia,141.0,0.93,13.32,14.34,14,07/01/2020,06/30/2023,-1.242486704431543,-1.772718485732812,-1.5204052321858137
MERCY SAN JUAN MEDICAL CENTER,CA,Pneumonia,346.0,1.14,17.72,15.6,70,07/01/2020,06/30/2023,2.0525899894443542,0.16369560168671085,-0.8455565957797468
MERCY SAN JUAN MEDICAL CENTER,CA,COPD,196.0,1.1,21.25,19.23,48,07/01/2020,06/30/2023,1.4249563334679953,1.7172278127301017,1.0986501900567798
VICTOR VALLEY GLOBAL MEDICAL CENTER,CA,Pneumonia,91.0,1.11,21.17,19.02,27,07/01/2020,06/30/2023,1.581864747462086,1.6820202838679295,0.9861754173224349
SUTTER DELTA MEDICAL CENTER,CA,Pneumonia,175.0,1.01,17.15,16.91,31,07/01/2020,06/30/2023,0.012780607521180043,-0.087158041456273,-0.14392825157978806
SUTTER DELTA MEDICAL CENTER,CA,COPD,123.0,0.95,20.43,21.46,22,07/01/2020,06/30/2023,-0.9286698764433635,1.3563506418928268,2.293025157664343
HUNTINGTON BEACH HOSPITAL,CA,Pneumonia,140.0,1.01,20.06,19.81,29,07/01/2020,06/30/2023,0.012780607521180043,1.1935158209052756,1.4092948004659207
JOHN F KENNEDY MEMORIAL HOSPITAL,CA,Pneumonia,124.0,1.08,17.37,16.04,27,07/01/2020,06/30/2023,1.1111395054798143,0.009662662914704242,-0.6098951671935015
LOS ROBLES HOSPITAL & MEDICAL CENTER,CA,Pneumonia,770.0,1.09,18.69,17.1,150,07/01/2020,06/30/2023,1.268047919473905,0.5905868891405615,-0.04216536196299951
LOS ROBLES HOSPITAL & MEDICAL CENTER,CA,COPD,140.0,1.07,19.94,18.68,32,07/01/2020,06/30/2023,0.9542310914857236,1.140704527612017,0.8040734043239723
UCI HEALTH - LOS ALAMITOS,CA,Pneumonia,290.0,1.02,16.69,16.3,50,07/01/2020,06/30/2023,0.16968902151527065,-0.28960133241376745,-0.4706406866652646
UCI HEALTH - LOS ALAMITOS,CA,COPD,72.0,1.02,20.37,19.94,16,07/01/2020,06/30/2023,0.16968902151527065,1.3299449952461975,1.47892204073004
MEMORIAL MEDICAL CENTER,CA,Pneumonia,444.0,0.99,15.86,15.97,70,07/01/2020,06/30/2023,-0.3010362204670012,-0.6548794443588147,-0.6473867581049488
MEMORIAL MEDICAL CENTER,CA,COPD,222.0,0.99,19.58,19.73,43,07/01/2020,06/30/2023,-0.3010362204670012,0.9822706477322364,1.3664472679956952
PROVIDENCE MISSION HOSPITAL,CA,Pneumonia,584.0,1.03,16.05,15.53,96,07/01/2020,06/30/2023,0.32659743550936127,-0.571261563311153,-0.8830481866911951
PROVIDENCE MISSION HOSPITAL,CA,COPD,92.0,0.98,17.6,17.95,15,07/01/2020,06/30/2023,-0.45794463446109174,0.11088430839345224,0.4130896705331556
UCI HEALTH - FOUNTAIN VALLEY,CA,Pneumonia,357.0,1.0,16.85,16.9,60,07/01/2020,06/30/2023,-0.14412780647291057,-0.21918627468942106,-0.14928419313856722
UCI HEALTH - FOUNTAIN VALLEY,CA,COPD,85.0,1.1,18.86,17.12,22,07/01/2020,06/30/2023,1.4249563334679953,0.6654028879726785,-0.031453478845443125
EISENHOWER MEDICAL CENTER,CA,Pneumonia,895.0,1.01,16.38,16.29,147,07/01/2020,06/30/2023,0.012780607521180043,-0.4260305067546894,-0.47599662822404376
EISENHOWER MEDICAL CENTER,CA,COPD,181.0,0.97,18.05,18.55,31,07/01/2020,06/30/2023,-0.6148530484551824,0.30892665824317594,0.7344461640598549
LA PALMA INTERCOMMUNITY HOSPITAL,CA,Pneumonia,138.0,1.09,18.11,16.59,31,07/01/2020,06/30/2023,1.268047919473905,0.3353323048898052,-0.31531838146069413
UCI HEALTH-LAKEWOOD,CA,Pneumonia,177.0,1.06,21.28,20.05,42,07/01/2020,06/30/2023,0.797322677491633,1.7304306360534172,1.5378373978766013
UCI HEALTH-LAKEWOOD,CA,COPD,43.0,1.02,22.62,22.19,11,07/01/2020,06/30/2023,0.16968902151527065,2.3201567444948172,2.68400889145516
CHINO VALLEY MEDICAL CENTER,CA,Pneumonia,111.0,0.98,17.54,17.91,18,07/01/2020,06/30/2023,-0.45794463446109174,0.08447866174682138,0.3916659042980428
SAN DIMAS COMMUNITY HOSPITAL,CA,Pneumonia,164.0,1.23,23.04,18.69,53,07/01/2020,06/30/2023,3.4647657153911697,2.5049962710212257,0.8094293458827515
UCI HEALTH - PLACENTIA LINDA,CA,Pneumonia,127.0,1.01,14.54,14.42,19,07/01/2020,06/30/2023,0.012780607521180043,-1.2358036705846718,-1.477557699715587
METHODIST HOSPITAL OF SACRAMENTO,CA,Pneumonia,181.0,1.11,18.23,16.46,40,07/01/2020,06/30/2023,1.581864747462086,0.3881435981830654,-0.3849456217248116
METHODIST HOSPITAL OF SACRAMENTO,CA,COPD,85.0,1.06,21.26,20.0,22,07/01/2020,06/30/2023,0.797322677491633,1.721628753837874,1.5110576900827093
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,CA,Pneumonia,201.0,0.98,17.62,17.98,34,07/01/2020,06/30/2023,-0.45794463446109174,0.11968619060899535,0.42915749520949115
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,CA,Pneumonia,349.0,1.06,19.71,18.56,73,07/01/2020,06/30/2023,0.797322677491633,1.039482882133269,0.7398021056186321
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,CA,COPD,163.0,1.03,21.1,20.58,36,07/01/2020,06/30/2023,0.32659743550936127,1.6512136961135278,1.8217023004918502
MEMORIALCARE SADDLEBACK MEDICAL CENTER,CA,Pneumonia,264.0,0.9,14.12,15.75,30,07/01/2020,06/30/2023,-1.7132119464138147,-1.420643197111081,-0.765217472398072
ADVENTIST HEALTH DELANO,CA,Pneumonia,73.0,1.03,17.64,17.1,15,07/01/2020,06/30/2023,0.32659743550936127,0.12848807282453845,-0.04216536196299951
HENRY MAYO NEWHALL  HOSPITAL,CA,Pneumonia,345.0,1.07,16.65,15.56,62,07/01/2020,06/30/2023,0.9542310914857236,-0.3072050968448552,-0.8669803620148596
HENRY MAYO NEWHALL  HOSPITAL,CA,COPD,120.0,0.98,16.02,16.35,18,07/01/2020,06/30/2023,-0.45794463446109174,-0.5844643866344683,-0.4438609788713727
CEDARS-SINAI MEDICAL CENTER,CA,Pneumonia,1408.0,0.99,18.85,18.94,265,07/01/2020,06/30/2023,-0.3010362204670012,0.6610019468649078,0.9433278848522093
CEDARS-SINAI MEDICAL CENTER,CA,COPD,231.0,0.99,21.61,21.92,49,07/01/2020,06/30/2023,-0.3010362204670012,1.8756616926098806,2.5393984693681455
TENET HEALTH CENTRAL COAST TWIN CITIES COMM HOSP,CA,Pneumonia,260.0,1.05,15.18,14.39,43,07/01/2020,06/30/2023,0.6404142634975425,-0.9541434396872864,-1.4936255243919216
PALOMAR MEDICAL CENTER POWAY,CA,Pneumonia,252.0,1.0,15.92,15.95,40,07/01/2020,06/30/2023,-0.14412780647291057,-0.6284737977121846,-0.6580986412225062
LOS ANGELES COMMUNITY HOSPITAL,CA,Pneumonia,303.0,1.0,20.13,20.12,61,07/01/2020,06/30/2023,-0.14412780647291057,1.2243224086596771,1.5753289887880495
LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,CA,Pneumonia,46.0,1.07,16.02,14.94,12,07/01/2020,06/30/2023,0.9542310914857236,-0.5844643866344683,-1.1990487386591153
MEMORIALCARE ORANGE COAST MEDICAL CENTER,CA,Pneumonia,264.0,1.02,16.25,15.99,44,07/01/2020,06/30/2023,0.16968902151527065,-0.48324274115572036,-0.6366748749873925
MEMORIALCARE ORANGE COAST MEDICAL CENTER,CA,COPD,87.0,0.94,17.16,18.3,11,07/01/2020,06/30/2023,-1.0855782904374542,-0.08275710034850066,0.6005476250903972
SAN RAMON REGIONAL MEDICAL CENTER,CA,Pneumonia,232.0,1.02,15.35,15.03,37,07/01/2020,06/30/2023,0.16968902151527065,-0.8793274408551685,-1.1508452646301106
KECK HOSPITAL OF USC,CA,Pneumonia,55.0,1.0,22.36,22.45,12,07/01/2020,06/30/2023,-0.14412780647291057,2.205732275692754,2.8232633719833946
SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL,CA,Pneumonia,209.0,0.96,15.11,15.7,29,07/01/2020,06/30/2023,-0.7717614624492729,-0.984950027441688,-0.791997180191964
MISSION COMMUNITY HOSPITAL,CA,Pneumonia,262.0,1.09,21.63,19.8,63,07/01/2020,06/30/2023,1.268047919473905,1.8844635748254237,1.4039388589071435
DESERT VALLEY HOSPITAL,CA,Pneumonia,232.0,1.11,19.32,17.44,52,07/01/2020,06/30/2023,1.581864747462086,0.8678461789301746,0.1399366510354629
DESERT VALLEY HOSPITAL,CA,COPD,70.0,1.04,19.27,18.52,16,07/01/2020,06/30/2023,0.4835058495034518,0.845841473391316,0.7183783393835194
BAKERSFIELD HEART HOSPITAL,CA,Pneumonia,137.0,0.98,16.5,16.89,21,07/01/2020,06/30/2023,-0.45794463446109174,-0.3732192134614292,-0.15464013469734447
WHITTIER HOSPITAL MEDICAL CENTER,CA,Pneumonia,128.0,1.12,18.15,16.21,31,07/01/2020,06/30/2023,1.7387731614561766,0.35293606932089144,-0.5188441606942693
MONTEREY PARK HOSPITAL,CA,Pneumonia,63.0,1.03,15.91,15.44,12,07/01/2020,06/30/2023,0.32659743550936127,-0.6328747388199562,-0.9312516607201998
GARFIELD MEDICAL CENTER,CA,Pneumonia,268.0,1.12,17.59,15.68,55,07/01/2020,06/30/2023,1.7387731614561766,0.10648336728567992,-0.8027090633095203
GREATER EL MONTE COMMUNITY HOSPITAL,CA,Pneumonia,124.0,1.03,21.49,20.82,29,07/01/2020,06/30/2023,0.32659743550936127,1.8228503993166205,1.9502448979025309
CENTINELA HOSPITAL MEDICAL CENTER,CA,Pneumonia,291.0,1.15,24.61,21.41,82,07/01/2020,06/30/2023,2.209498403438445,3.1959440249413738,2.266245449870451
CENTINELA HOSPITAL MEDICAL CENTER,CA,COPD,114.0,1.09,26.28,24.06,36,07/01/2020,06/30/2023,1.268047919473905,3.9309011899392394,3.685569962946702
CEDAR-SINAI MARINA DEL REY HOSPITAL,CA,Pneumonia,213.0,1.01,18.55,18.42,40,07/01/2020,06/30/2023,0.012780607521180043,0.5289737136317582,0.6648189237957374
CEDAR-SINAI MARINA DEL REY HOSPITAL,CA,COPD,48.0,1.02,22.34,21.91,12,07/01/2020,06/30/2023,0.16968902151527065,2.196930393477211,2.5340425278093663
ORANGE COUNTY GLOBAL MEDICAL CENTER,CA,Pneumonia,126.0,1.01,17.8,17.65,23,07/01/2020,06/30/2023,0.012780607521180043,0.1989031305488848,0.25241142376980596
SHERMAN OAKS HOSPITAL,CA,Pneumonia,308.0,1.09,23.76,21.7,80,07/01/2020,06/30/2023,1.268047919473905,2.821864030780785,2.4215677550750216
SHERMAN OAKS HOSPITAL,CA,COPD,53.0,1.03,21.41,20.87,13,07/01/2020,06/30/2023,0.32659743550936127,1.787642870454448,1.9770246056964227
ALVARADO HOSPITAL MEDICAL CENTER,CA,Pneumonia,186.0,1.0,18.41,18.48,34,07/01/2020,06/30/2023,-0.14412780647291057,0.46736053812295486,0.6969545731484066
MONTCLAIR HOSPITAL MEDICAL CENTER,CA,Pneumonia,121.0,1.11,20.93,18.79,33,07/01/2020,06/30/2023,1.581864747462086,1.576397697281409,0.8629887614705335
KAISER FOUNDATION HOSPITAL - ANTIOCH,CA,Pneumonia,30.0,1.08,18.34,16.95,11,07/01/2020,06/30/2023,1.1111395054798143,0.4365539503685532,-0.12250448534467528
PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,CA,Pneumonia,286.0,0.99,16.63,16.77,47,07/01/2020,06/30/2023,-0.3010362204670012,-0.3160069790603983,-0.2189114334026847
PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,CA,COPD,148.0,0.97,18.23,18.83,25,07/01/2020,06/30/2023,-0.6148530484551824,0.3881435981830654,0.8844125277056463
L A DOWNTOWN MEDICAL CENTER,CA,Pneumonia,293.0,1.14,20.77,18.25,70,07/01/2020,06/30/2023,2.0525899894443542,1.5059826395570626,0.5737679172965052
L A DOWNTOWN MEDICAL CENTER,CA,COPD,109.0,1.02,20.21,19.9,23,07/01/2020,06/30/2023,0.16968902151527065,1.2595299375218512,1.4574982744949254
SHASTA REGIONAL MEDICAL CENTER,CA,Pneumonia,430.0,1.02,16.82,16.42,74,07/01/2020,06/30/2023,0.16968902151527065,-0.2323890980127365,-0.4063693879599244
SHASTA REGIONAL MEDICAL CENTER,CA,COPD,197.0,1.04,18.62,17.94,39,07/01/2020,06/30/2023,0.4835058495034518,0.5597803013861598,0.4077337289743784
LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,CA,Pneumonia,211.0,1.02,15.59,15.34,34,07/01/2020,06/30/2023,0.16968902151527065,-0.7737048542686489,-0.9848110763079827
LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,CA,COPD,108.0,1.03,18.01,17.56,21,07/01/2020,06/30/2023,0.32659743550936127,0.2913228938120897,0.20420794974080125
COAST PLAZA HOSPITAL,CA,Pneumonia,141.0,0.99,21.88,22.14,30,07/01/2020,06/30/2023,-0.3010362204670012,1.9944871025197148,2.6572291836612676
TEMECULA VALLEY HOSPITAL,CA,Pneumonia,230.0,1.01,15.78,15.61,37,07/01/2020,06/30/2023,0.012780607521180043,-0.6900869732209879,-0.8402006542209686
COLLEGE MEDICAL CENTER,CA,Pneumonia,73.0,1.03,20.79,20.27,17,07/01/2020,06/30/2023,0.32659743550936127,1.5147845217726057,1.6556681121697234
COLLEGE MEDICAL CENTER,CA,COPD,44.0,1.04,23.93,23.06,13,07/01/2020,06/30/2023,0.4835058495034518,2.8966800296129023,3.1499758070688713
"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",CA,Pneumonia,85.0,1.07,18.9,17.62,21,07/01/2020,06/30/2023,0.9542310914857236,0.6830066524037648,0.23634359909347233
FOOTHILL REGIONAL MEDICAL CENTER,CA,Pneumonia,172.0,1.01,20.67,20.55,36,07/01/2020,06/30/2023,0.012780607521180043,1.4619732284793472,1.8056344758155167
COLUSA MEDICAL CENTER,CA,COPD,62.0,1.0,17.75,17.75,11,07/01/2020,06/30/2023,-0.14412780647291057,0.17689842501002628,0.3059708393575898
ADVENTIST HEALTH TULARE,CA,Pneumonia,88.0,0.98,13.68,13.9,11,07/01/2020,06/30/2023,-0.45794463446109174,-1.6142846058530331,-1.756066660772059
BANNER NORTH COLORADO MEDICAL CENTER,CO,Pneumonia,167.0,0.95,15.17,15.95,22,07/01/2020,06/30/2023,-0.9286698764433635,-0.958544380795058,-0.6580986412225062
LONGMONT UNITED HOSPITAL,CO,Pneumonia,105.0,1.01,14.32,14.11,16,07/01/2020,06/30/2023,0.012780607521180043,-1.3326243749556475,-1.643591888037715
LUTHERAN MEDICAL CENTER,CO,Pneumonia,203.0,0.95,13.88,14.56,25,07/01/2020,06/30/2023,-0.9286698764433635,-1.5262657836975997,-1.4025745178926905
LUTHERAN MEDICAL CENTER,CO,COPD,70.0,0.99,17.81,17.95,12,07/01/2020,06/30/2023,-0.3010362204670012,0.2033040716566556,0.4130896705331556
POUDRE VALLEY HOSPITAL,CO,Pneumonia,339.0,0.9,13.49,14.94,39,07/01/2020,06/30/2023,-1.7132119464138147,-1.697902486900694,-1.1990487386591153
MERCY REGIONAL MEDICAL CENTER,CO,Pneumonia,128.0,0.97,14.03,14.46,16,07/01/2020,06/30/2023,-0.6148530484551824,-1.4602516670810257,-1.4561339334804735
CENTURA HEALTH-ST ANTHONY HOSPITAL,CO,Pneumonia,185.0,0.99,15.38,15.48,28,07/01/2020,06/30/2023,-0.3010362204670012,-0.8661246175318531,-0.909827894485086
"PARKVIEW MEDICAL CENTER, INC",CO,Pneumonia,285.0,0.98,15.58,15.91,43,07/01/2020,06/30/2023,-0.45794463446109174,-0.7781057953764204,-0.6795224074576189
"PARKVIEW MEDICAL CENTER, INC",CO,COPD,163.0,0.96,16.33,17.07,24,07/01/2020,06/30/2023,-0.7717614624492729,-0.4480352122935479,-0.05823318663933505
UCH-MEMORIAL HEALTH SYSTEM,CO,Pneumonia,543.0,0.92,14.25,15.44,72,07/01/2020,06/30/2023,-1.3993951184256337,-1.3634309627100492,-0.9312516607201998
UCH-MEMORIAL HEALTH SYSTEM,CO,COPD,149.0,0.96,18.6,19.43,25,07/01/2020,06/30/2023,-0.7717614624492729,0.5509784191706166,1.2057690212323455
ST MARY'S REGIONAL HOSPITAL,CO,Pneumonia,206.0,0.9,14.07,15.62,22,07/01/2020,06/30/2023,-1.7132119464138147,-1.4426479026499386,-0.8348447126621904
UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,CO,Pneumonia,392.0,0.87,15.26,17.64,50,07/01/2020,06/30/2023,-2.1839371883960865,-0.9189359108251132,0.24705548221102872
UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,CO,COPD,137.0,0.92,17.79,19.4,19,07/01/2020,06/30/2023,-1.3993951184256337,0.19450218944111247,1.18970119655601
BOULDER COMMUNITY HEALTH,CO,Pneumonia,215.0,0.95,13.66,14.38,26,07/01/2020,06/30/2023,-0.9286698764433635,-1.623086488068576,-1.4989814659507
SAINT JOSEPH HOSPITAL,CO,Pneumonia,97.0,0.99,16.45,16.68,15,07/01/2020,06/30/2023,-0.3010362204670012,-0.39522391900028775,-0.2671149074316894
CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,CO,Pneumonia,496.0,0.87,13.07,14.96,56,07/01/2020,06/30/2023,-2.1839371883960865,-1.8827420134271031,-1.1883368555415579
CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,CO,COPD,140.0,1.02,16.38,16.09,24,07/01/2020,06/30/2023,0.16968902151527065,-0.4260305067546894,-0.5831154593996095
ROSE MEDICAL CENTER,CO,Pneumonia,166.0,1.09,16.89,15.47,34,07/01/2020,06/30/2023,1.268047919473905,-0.20158251025833487,-0.9151838360438643
HCA-HEALTHONE DBA SWEDISH MEDICAL CENTER,CO,Pneumonia,289.0,0.96,15.1,15.71,41,07/01/2020,06/30/2023,-0.7717614624492729,-0.9893509685494596,-0.7866412386331848
COMMUNITY HOSPITAL,CO,Pneumonia,90.0,0.99,14.08,14.22,12,07/01/2020,06/30/2023,-0.3010362204670012,-1.4382469615421671,-1.584676530891153
CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,CO,Pneumonia,95.0,1.04,15.87,15.19,18,07/01/2020,06/30/2023,0.4835058495034518,-0.6504785032510432,-1.0651501996896575
NORTH SUBURBAN MEDICAL CENTER,CO,Pneumonia,60.0,1.0,17.87,17.8,11,07/01/2020,06/30/2023,-0.14412780647291057,0.22970971830328646,0.3327505471514817
THE MEDICAL CENTER OF AURORA & SOUTH HOSPITAL,CO,Pneumonia,263.0,1.0,15.65,15.68,41,07/01/2020,06/30/2023,-0.14412780647291057,-0.7472992076220188,-0.8027090633095203
