Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"PARKVIEW MEDICAL CENTER, INC",CO,READM-30-COPD-HRRP,163.0,0.957,16.3323,17.0662,24,07/01/2020,06/30/2023
UCH-MEMORIAL HEALTH SYSTEM,CO,READM-30-PN-HRRP,543.0,0.9224,14.2456,15.4437,72,07/01/2020,06/30/2023
UCH-MEMORIAL HEALTH SYSTEM,CO,READM-30-COPD-HRRP,149.0,0.9572,18.5994,19.4305,25,07/01/2020,06/30/2023
ST MARY'S REGIONAL HOSPITAL,CO,READM-30-PN-HRRP,206.0,0.9005,14.0672,15.621,22,07/01/2020,06/30/2023
ST MARY'S REGIONAL HOSPITAL,CO,READM-30-COPD-HRRP,,0.9747,15.7976,16.2082,Too Few to Report,07/01/2020,06/30/2023
UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,CO,READM-30-PN-HRRP,392.0,0.8654,15.2638,17.6384,50,07/01/2020,06/30/2023
UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,CO,READM-30-COPD-HRRP,137.0,0.9169,17.7874,19.3996,19,07/01/2020,06/30/2023
BOULDER COMMUNITY HEALTH,CO,READM-30-PN-HRRP,215.0,0.95,13.6564,14.3758,26,07/01/2020,06/30/2023
BOULDER COMMUNITY HEALTH,CO,READM-30-COPD-HRRP,,0.929,16.6803,17.9545,Too Few to Report,07/01/2020,06/30/2023
SAINT JOSEPH HOSPITAL,CO,READM-30-PN-HRRP,97.0,0.986,16.4471,16.68,15,07/01/2020,06/30/2023
SAINT JOSEPH HOSPITAL,CO,READM-30-COPD-HRRP,,1.0372,21.5744,20.8002,Too Few to Report,07/01/2020,06/30/2023
BANNER MCKEE MEDICAL CENTER,CO,READM-30-PN-HRRP,,0.9467,13.2735,14.0201,Too Few to Report,07/01/2020,06/30/2023
BANNER MCKEE MEDICAL CENTER,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,CO,READM-30-PN-HRRP,496.0,0.874,13.0744,14.9599,56,07/01/2020,06/30/2023
CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,CO,READM-30-COPD-HRRP,140.0,1.0182,16.3783,16.086,24,07/01/2020,06/30/2023
ROSE MEDICAL CENTER,CO,READM-30-PN-HRRP,166.0,1.0919,16.8922,15.4705,34,07/01/2020,06/30/2023
ROSE MEDICAL CENTER,CO,READM-30-COPD-HRRP,,1.0024,19.418,19.3724,Too Few to Report,07/01/2020,06/30/2023
HCA-HEALTHONE DBA SWEDISH MEDICAL CENTER,CO,READM-30-PN-HRRP,289.0,0.9614,15.0989,15.7058,41,07/01/2020,06/30/2023
HCA-HEALTHONE DBA SWEDISH MEDICAL CENTER,CO,READM-30-COPD-HRRP,,1.0045,15.9328,15.8617,Too Few to Report,07/01/2020,06/30/2023
ST ELIZABETH HOSPITAL,CO,READM-30-PN-HRRP,,1.0068,14.2424,14.1464,Too Few to Report,07/01/2020,06/30/2023
ST ELIZABETH HOSPITAL,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
UCHEALTH YAMPA VALLEY MEDICAL CENTER,CO,READM-30-PN-HRRP,,0.9989,13.1362,13.1509,Too Few to Report,07/01/2020,06/30/2023
UCHEALTH YAMPA VALLEY MEDICAL CENTER,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
COMMUNITY HOSPITAL,CO,READM-30-PN-HRRP,90.0,0.9899,14.0762,14.2198,12,07/01/2020,06/30/2023
COMMUNITY HOSPITAL,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,CO,READM-30-PN-HRRP,95.0,1.0445,15.8705,15.194,18,07/01/2020,06/30/2023
CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,CO,READM-30-COPD-HRRP,,0.9873,15.9111,16.1164,Too Few to Report,07/01/2020,06/30/2023
NORTH SUBURBAN MEDICAL CENTER,CO,READM-30-PN-HRRP,60.0,1.004,17.8728,17.8021,11,07/01/2020,06/30/2023
NORTH SUBURBAN MEDICAL CENTER,CO,READM-30-COPD-HRRP,,0.9729,16.5641,17.0257,Too Few to Report,07/01/2020,06/30/2023
DELTA COUNTY MEMORIAL HOSPITAL,CO,READM-30-PN-HRRP,,0.9972,12.5825,12.6176,Too Few to Report,07/01/2020,06/30/2023
DELTA COUNTY MEMORIAL HOSPITAL,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
VALLEY VIEW HOSPITAL ASSOCIATION,CO,READM-30-PN-HRRP,,0.9107,14.3466,15.7535,Too Few to Report,07/01/2020,06/30/2023
VALLEY VIEW HOSPITAL ASSOCIATION,CO,READM-30-COPD-HRRP,,0.9841,19.2159,19.5269,Too Few to Report,07/01/2020,06/30/2023
STERLING REGIONAL MEDCENTER,CO,READM-30-PN-HRRP,,1.0022,13.7784,13.7476,Too Few to Report,07/01/2020,06/30/2023
STERLING REGIONAL MEDCENTER,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
VAIL HEALTH HOSPITAL,CO,READM-30-PN-HRRP,,0.9939,13.3246,13.406,Too Few to Report,07/01/2020,06/30/2023
VAIL HEALTH HOSPITAL,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
THE MEDICAL CENTER OF AURORA & SOUTH HOSPITAL,CO,READM-30-PN-HRRP,263.0,0.9978,15.6454,15.6798,41,07/01/2020,06/30/2023
THE MEDICAL CENTER OF AURORA & SOUTH HOSPITAL,CO,READM-30-COPD-HRRP,,0.9683,18.2557,18.8541,Too Few to Report,07/01/2020,06/30/2023
CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,CO,READM-30-PN-HRRP,,0.9785,13.8211,14.1255,Too Few to Report,07/01/2020,06/30/2023
CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS,CO,READM-30-PN-HRRP,181.0,0.9664,14.5126,15.0175,24,07/01/2020,06/30/2023
CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS,CO,READM-30-COPD-HRRP,56.0,1.0733,19.0384,17.7388,15,07/01/2020,06/30/2023
NATIONAL JEWISH HEALTH,CO,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
NATIONAL JEWISH HEALTH,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
SKY RIDGE MEDICAL CENTER,CO,READM-30-PN-HRRP,218.0,0.9674,16.1684,16.7132,33,07/01/2020,06/30/2023
SKY RIDGE MEDICAL CENTER,CO,READM-30-COPD-HRRP,,0.9851,17.1989,17.4589,Too Few to Report,07/01/2020,06/30/2023
"LITTLETON ADVENTIST HOSPITAL, CENTURA HEALTH",CO,READM-30-PN-HRRP,252.0,1.0297,15.8848,15.4267,42,07/01/2020,06/30/2023
"LITTLETON ADVENTIST HOSPITAL, CENTURA HEALTH",CO,READM-30-COPD-HRRP,,0.9802,17.7501,18.1082,Too Few to Report,07/01/2020,06/30/2023
PARKER ADVENTIST HOSPITAL,CO,READM-30-PN-HRRP,174.0,0.9378,13.3307,14.2152,19,07/01/2020,06/30/2023
PARKER ADVENTIST HOSPITAL,CO,READM-30-COPD-HRRP,,0.9166,14.546,15.8696,Too Few to Report,07/01/2020,06/30/2023
GOOD SAMARITAN MEDICAL CENTER LLC,CO,READM-30-PN-HRRP,81.0,0.9853,14.8053,15.0258,11,07/01/2020,06/30/2023
GOOD SAMARITAN MEDICAL CENTER LLC,CO,READM-30-COPD-HRRP,44.0,1.0453,20.9359,20.0279,12,07/01/2020,06/30/2023
"ANIMAS SURGICAL HOSPITAL, LLC",CO,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
"ANIMAS SURGICAL HOSPITAL, LLC",CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
ST ANTHONY SUMMIT MEDICAL CENTER,CO,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
ST ANTHONY SUMMIT MEDICAL CENTER,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
MEDICAL CENTER OF THE ROCKIES,CO,READM-30-PN-HRRP,253.0,1.008,16.3869,16.2561,42,07/01/2020,06/30/2023
MEDICAL CENTER OF THE ROCKIES,CO,READM-30-COPD-HRRP,,0.9616,18.4116,19.1475,Too Few to Report,07/01/2020,06/30/2023
ORTHOCOLORADO HOSP AT ST ANTHONY MED CAMPUS,CO,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
ORTHOCOLORADO HOSP AT ST ANTHONY MED CAMPUS,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
ADVENTHEALTH CASTLE ROCK,CO,READM-30-PN-HRRP,94.0,1.0192,14.6211,14.3462,15,07/01/2020,06/30/2023
ADVENTHEALTH CASTLE ROCK,CO,READM-30-COPD-HRRP,,1.0298,16.4271,15.9515,Too Few to Report,07/01/2020,06/30/2023
BANNER FORT COLLINS MEDICAL CENTER,CO,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
BANNER FORT COLLINS MEDICAL CENTER,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
LONGS PEAK HOSPITAL,CO,READM-30-PN-HRRP,,0.9238,13.942,15.0915,Too Few to Report,07/01/2020,06/30/2023
LONGS PEAK HOSPITAL,CO,READM-30-COPD-HRRP,,0.9531,15.3656,16.1224,Too Few to Report,07/01/2020,06/30/2023
UCHEALTH BROOMFIELD HOSPITAL,CO,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
UCHEALTH BROOMFIELD HOSPITAL,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
UCHEALTH GRANDVIEW HOSPITAL,CO,READM-30-PN-HRRP,,0.9774,11.3858,11.6492,Too Few to Report,07/01/2020,06/30/2023
UCHEALTH GRANDVIEW HOSPITAL,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
UCHEALTH GREELEY HOSPITAL,CO,READM-30-PN-HRRP,118.0,1.0087,15.6158,15.4814,19,07/01/2020,06/30/2023
UCHEALTH GREELEY HOSPITAL,CO,READM-30-COPD-HRRP,,0.9978,19.7935,19.8363,Too Few to Report,07/01/2020,06/30/2023
UCHEALTH HIGHLANDS RANCH HOSPITAL,CO,READM-30-PN-HRRP,165.0,1.0029,15.6401,15.595,26,07/01/2020,06/30/2023
UCHEALTH HIGHLANDS RANCH HOSPITAL,CO,READM-30-COPD-HRRP,,0.9632,15.5457,16.1393,Too Few to Report,07/01/2020,06/30/2023
ST FRANCIS HOSPITAL - INTERQUEST,CO,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
ST FRANCIS HOSPITAL - INTERQUEST,CO,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,READM-30-PN-HRRP,351.0,1.0736,17.4264,16.2324,66,07/01/2020,06/30/2023
ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,READM-30-COPD-HRRP,162.0,0.9304,18.1683,19.5267,25,07/01/2020,06/30/2023
DAY KIMBALL HOSPITAL,CT,READM-30-PN-HRRP,121.0,1.0174,15.5796,15.3134,20,07/01/2020,06/30/2023
DAY KIMBALL HOSPITAL,CT,READM-30-COPD-HRRP,99.0,1.0292,16.4387,15.9729,18,07/01/2020,06/30/2023
SHARON HOSPITAL,CT,READM-30-PN-HRRP,148.0,0.9555,13.5012,14.1302,17,07/01/2020,06/30/2023
SHARON HOSPITAL,CT,READM-30-COPD-HRRP,45.0,1.0593,16.8273,15.8853,11,07/01/2020,06/30/2023
WATERBURY HOSPITAL,CT,READM-30-PN-HRRP,290.0,1.0394,17.7065,17.036,54,07/01/2020,06/30/2023
WATERBURY HOSPITAL,CT,READM-30-COPD-HRRP,111.0,0.9246,17.8939,19.3531,15,07/01/2020,06/30/2023
STAMFORD HOSPITAL,CT,READM-30-PN-HRRP,467.0,0.9559,14.7773,15.4595,66,07/01/2020,06/30/2023
STAMFORD HOSPITAL,CT,READM-30-COPD-HRRP,81.0,1.0801,22.2058,20.5591,23,07/01/2020,06/30/2023
LAWRENCE & MEMORIAL HOSPITAL,CT,READM-30-PN-HRRP,451.0,1.0556,17.5768,16.6508,83,07/01/2020,06/30/2023
LAWRENCE & MEMORIAL HOSPITAL,CT,READM-30-COPD-HRRP,108.0,0.9446,18.0825,19.1426,16,07/01/2020,06/30/2023
JOHNSON MEMORIAL HOSPITAL,CT,READM-30-PN-HRRP,,0.9703,13.466,13.8778,Too Few to Report,07/01/2020,06/30/2023
JOHNSON MEMORIAL HOSPITAL,CT,READM-30-COPD-HRRP,,0.9803,16.7522,17.0889,Too Few to Report,07/01/2020,06/30/2023
BRIDGEPORT HOSPITAL,CT,READM-30-PN-HRRP,714.0,1.1091,17.9154,16.1531,135,07/01/2020,06/30/2023
BRIDGEPORT HOSPITAL,CT,READM-30-COPD-HRRP,124.0,0.9921,18.9529,19.1035,23,07/01/2020,06/30/2023
CHARLOTTE HUNGERFORD HOSPITAL,CT,READM-30-PN-HRRP,350.0,1.1858,19.1999,16.1915,79,07/01/2020,06/30/2023
CHARLOTTE HUNGERFORD HOSPITAL,CT,READM-30-COPD-HRRP,140.0,1.1357,22.7717,20.0509,40,07/01/2020,06/30/2023
ROCKVILLE GENERAL HOSPITAL,CT,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
ROCKVILLE GENERAL HOSPITAL,CT,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
SAINT MARY'S HOSPITAL,CT,READM-30-PN-HRRP,266.0,0.9092,14.8015,16.279,33,07/01/2020,06/30/2023
SAINT MARY'S HOSPITAL,CT,READM-30-COPD-HRRP,130.0,0.8979,18.3076,20.3887,17,07/01/2020,06/30/2023
MIDSTATE MEDICAL CENTER,CT,READM-30-PN-HRRP,373.0,0.978,15.1448,15.4862,55,07/01/2020,06/30/2023
MIDSTATE MEDICAL CENTER,CT,READM-30-COPD-HRRP,123.0,1.0848,20.9803,19.3397,31,07/01/2020,06/30/2023
GREENWICH HOSPITAL ASSOCIATION -,CT,READM-30-PN-HRRP,523.0,0.9837,15.5068,15.763,80,07/01/2020,06/30/2023
GREENWICH HOSPITAL ASSOCIATION -,CT,READM-30-COPD-HRRP,76.0,1.0424,17.7179,16.9974,16,07/01/2020,06/30/2023
MIDDLESEX HOSPITAL,CT,READM-30-PN-HRRP,595.0,1.1385,16.3599,14.3694,106,07/01/2020,06/30/2023
MIDDLESEX HOSPITAL,CT,READM-30-COPD-HRRP,190.0,1.0744,18.725,17.4285,40,07/01/2020,06/30/2023
WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,READM-30-PN-HRRP,107.0,1.0165,14.875,14.6335,17,07/01/2020,06/30/2023
WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,READM-30-COPD-HRRP,55.0,1.0573,17.5838,16.6304,13,07/01/2020,06/30/2023
YALE-NEW HAVEN HOSPITAL,CT,READM-30-PN-HRRP,1319.0,0.9828,17.4527,17.7587,229,07/01/2020,06/30/2023
YALE-NEW HAVEN HOSPITAL,CT,READM-30-COPD-HRRP,171.0,0.9684,18.114,18.7045,29,07/01/2020,06/30/2023
WILLIAM W BACKUS HOSPITAL,CT,READM-30-PN-HRRP,453.0,0.9019,15.2275,16.8839,62,07/01/2020,06/30/2023
WILLIAM W BACKUS HOSPITAL,CT,READM-30-COPD-HRRP,242.0,1.056,19.2663,18.2443,50,07/01/2020,06/30/2023
HARTFORD HOSPITAL,CT,READM-30-PN-HRRP,582.0,1.0468,16.4774,15.7407,99,07/01/2020,06/30/2023
HARTFORD HOSPITAL,CT,READM-30-COPD-HRRP,164.0,0.9567,16.8863,17.6504,25,07/01/2020,06/30/2023
MANCHESTER MEMORIAL HOSPITAL,CT,READM-30-PN-HRRP,302.0,0.9532,14.6286,15.3462,41,07/01/2020,06/30/2023
MANCHESTER MEMORIAL HOSPITAL,CT,READM-30-COPD-HRRP,68.0,1.0396,18.5407,17.8344,15,07/01/2020,06/30/2023
ST VINCENT'S MEDICAL CENTER,CT,READM-30-PN-HRRP,295.0,1.0449,16.2834,15.5829,51,07/01/2020,06/30/2023
ST VINCENT'S MEDICAL CENTER,CT,READM-30-COPD-HRRP,87.0,0.9566,16.9478,17.7174,12,07/01/2020,06/30/2023
BRISTOL HOSPITAL,CT,READM-30-PN-HRRP,171.0,1.0681,17.2544,16.1541,34,07/01/2020,06/30/2023
BRISTOL HOSPITAL,CT,READM-30-COPD-HRRP,84.0,1.0446,19.3874,18.5589,19,07/01/2020,06/30/2023
GRIFFIN HOSPITAL,CT,READM-30-PN-HRRP,128.0,1.0046,14.607,14.5399,19,07/01/2020,06/30/2023
GRIFFIN HOSPITAL,CT,READM-30-COPD-HRRP,103.0,0.9292,15.9317,17.1459,12,07/01/2020,06/30/2023
DANBURY HOSPITAL,CT,READM-30-PN-HRRP,858.0,1.0464,16.31,15.5865,143,07/01/2020,06/30/2023
DANBURY HOSPITAL,CT,READM-30-COPD-HRRP,263.0,1.012,17.9723,17.76,48,07/01/2020,06/30/2023
NORWALK HOSPITAL,CT,READM-30-PN-HRRP,443.0,1.0101,15.6489,15.4926,70,07/01/2020,06/30/2023
NORWALK HOSPITAL,CT,READM-30-COPD-HRRP,88.0,1.0001,17.0409,17.0398,15,07/01/2020,06/30/2023
THE HOSPITAL OF CENTRAL CONNECTICUT,CT,READM-30-PN-HRRP,355.0,0.9675,15.5565,16.0795,53,07/01/2020,06/30/2023
THE HOSPITAL OF CENTRAL CONNECTICUT,CT,READM-30-COPD-HRRP,139.0,1.0078,18.3656,18.2243,26,07/01/2020,06/30/2023
JOHN DEMPSEY HOSPITAL,CT,READM-30-PN-HRRP,286.0,0.966,14.0851,14.5811,38,07/01/2020,06/30/2023
JOHN DEMPSEY HOSPITAL,CT,READM-30-COPD-HRRP,90.0,1.0618,19.2063,18.0881,21,07/01/2020,06/30/2023
THE CONNECTICUT HOSPICE INC.,CT,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
THE CONNECTICUT HOSPICE INC.,CT,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
HEBREW HOME AND HOSPITAL INC,CT,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
HEBREW HOME AND HOSPITAL INC,CT,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CHRISTIANA HOSPITAL,DE,READM-30-PN-HRRP,1588.0,0.9251,14.3694,15.5336,223,07/01/2020,06/30/2023
CHRISTIANA HOSPITAL,DE,READM-30-COPD-HRRP,730.0,0.9977,18.9238,18.9676,138,07/01/2020,06/30/2023
ST FRANCIS HOSPITAL,DE,READM-30-PN-HRRP,,0.9288,14.7893,15.9235,Too Few to Report,07/01/2020,06/30/2023
ST FRANCIS HOSPITAL,DE,READM-30-COPD-HRRP,,0.9727,22.6186,23.2542,Too Few to Report,07/01/2020,06/30/2023
"BAYHEALTH MEDICAL CENTER, KENT CAMPUS",DE,READM-30-PN-HRRP,764.0,1.0798,17.5051,16.2118,139,07/01/2020,06/30/2023
"BAYHEALTH MEDICAL CENTER, KENT CAMPUS",DE,READM-30-COPD-HRRP,288.0,0.9891,17.5932,17.7874,50,07/01/2020,06/30/2023
"TIDALHEALTH NANTICOKE, INC.",DE,READM-30-PN-HRRP,353.0,0.8885,14.7028,16.5474,44,07/01/2020,06/30/2023
"TIDALHEALTH NANTICOKE, INC.",DE,READM-30-COPD-HRRP,146.0,0.9356,17.8867,19.1185,22,07/01/2020,06/30/2023
BEEBE MEDICAL CENTER,DE,READM-30-PN-HRRP,681.0,1.0635,15.6966,14.759,111,07/01/2020,06/30/2023
BEEBE MEDICAL CENTER,DE,READM-30-COPD-HRRP,226.0,0.9326,15.1036,16.1945,30,07/01/2020,06/30/2023
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",DE,READM-30-PN-HRRP,306.0,0.9598,14.9492,15.5761,43,07/01/2020,06/30/2023
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",DE,READM-30-COPD-HRRP,138.0,0.9964,18.2765,18.3423,25,07/01/2020,06/30/2023
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM-30-PN-HRRP,178.0,0.9755,16.6884,17.1067,28,07/01/2020,06/30/2023
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM-30-COPD-HRRP,81.0,1.0249,21.4388,20.9189,19,07/01/2020,06/30/2023
HOWARD UNIVERSITY HOSPITAL CORP,DC,READM-30-PN-HRRP,128.0,0.98,17.4994,17.856,21,07/01/2020,06/30/2023
HOWARD UNIVERSITY HOSPITAL CORP,DC,READM-30-COPD-HRRP,80.0,1.1125,24.7846,22.2784,27,07/01/2020,06/30/2023
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,DC,READM-30-PN-HRRP,206.0,1.0564,18.0597,17.0958,41,07/01/2020,06/30/2023
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,DC,READM-30-COPD-HRRP,43.0,1.0272,21.544,20.9727,11,07/01/2020,06/30/2023
SIBLEY MEMORIAL HOSPITAL,DC,READM-30-PN-HRRP,375.0,0.9398,13.6226,14.4958,47,07/01/2020,06/30/2023
SIBLEY MEMORIAL HOSPITAL,DC,READM-30-COPD-HRRP,,0.9818,17.2845,17.6053,Too Few to Report,07/01/2020,06/30/2023
UNITED MEDICAL CENTER,DC,READM-30-PN-HRRP,77.0,0.9814,18.5981,18.9501,13,07/01/2020,06/30/2023
UNITED MEDICAL CENTER,DC,READM-30-COPD-HRRP,,0.9555,18.0609,18.9016,Too Few to Report,07/01/2020,06/30/2023
MEDSTAR WASHINGTON HOSPITAL CENTER,DC,READM-30-PN-HRRP,396.0,1.0956,19.8367,18.1051,85,07/01/2020,06/30/2023
MEDSTAR WASHINGTON HOSPITAL CENTER,DC,READM-30-COPD-HRRP,176.0,1.0391,21.8752,21.0514,41,07/01/2020,06/30/2023
SHANDS JACKSONVILLE,FL,READM-30-PN-HRRP,240.0,1.0077,18.9435,18.7994,46,07/01/2020,06/30/2023
SHANDS JACKSONVILLE,FL,READM-30-COPD-HRRP,119.0,1.1418,24.422,21.3887,38,07/01/2020,06/30/2023
BETHESDA  HOSPITAL INC,FL,READM-30-PN-HRRP,737.0,0.9386,15.0953,16.0824,107,07/01/2020,06/30/2023
BETHESDA  HOSPITAL INC,FL,READM-30-COPD-HRRP,242.0,1.0657,19.4527,18.254,51,07/01/2020,06/30/2023
ORLANDO HEALTH,FL,READM-30-PN-HRRP,808.0,1.0074,17.2638,17.1372,140,07/01/2020,06/30/2023
ORLANDO HEALTH,FL,READM-30-COPD-HRRP,334.0,1.1349,21.2786,18.7489,79,07/01/2020,06/30/2023
ADVENTHEALTH ORLANDO,FL,READM-30-PN-HRRP,3258.0,1.1283,18.9873,16.8275,627,07/01/2020,06/30/2023
ADVENTHEALTH ORLANDO,FL,READM-30-COPD-HRRP,702.0,1.1017,19.7985,17.9713,145,07/01/2020,06/30/2023
BAPTIST HOSPITAL OF MIAMI,FL,READM-30-PN-HRRP,605.0,1.0561,17.7277,16.7854,111,07/01/2020,06/30/2023
BAPTIST HOSPITAL OF MIAMI,FL,READM-30-COPD-HRRP,124.0,0.9945,19.6335,19.7413,24,07/01/2020,06/30/2023
LEE MEMORIAL HOSPITAL,FL,READM-30-PN-HRRP,945.0,1.0564,16.7491,15.8546,162,07/01/2020,06/30/2023
LEE MEMORIAL HOSPITAL,FL,READM-30-COPD-HRRP,307.0,0.9932,19.6833,19.8173,60,07/01/2020,06/30/2023
ADVENTHEALTH NEW SMYRNA BEACH,FL,READM-30-PN-HRRP,276.0,0.9225,15.0047,16.266,36,07/01/2020,06/30/2023
ADVENTHEALTH NEW SMYRNA BEACH,FL,READM-30-COPD-HRRP,105.0,1.0701,18.9163,17.6779,24,07/01/2020,06/30/2023
HALIFAX HEALTH MEDICAL CENTER,FL,READM-30-PN-HRRP,420.0,0.949,15.1244,15.9377,60,07/01/2020,06/30/2023
HALIFAX HEALTH MEDICAL CENTER,FL,READM-30-COPD-HRRP,157.0,1.0383,19.5154,18.7951,33,07/01/2020,06/30/2023
NAPLES COMMUNITY HOSPITAL,FL,READM-30-PN-HRRP,1485.0,0.9842,15.088,15.3298,223,07/01/2020,06/30/2023
NAPLES COMMUNITY HOSPITAL,FL,READM-30-COPD-HRRP,330.0,1.0202,17.8148,17.4617,60,07/01/2020,06/30/2023
HOLMES REGIONAL MEDICAL CENTER,FL,READM-30-PN-HRRP,670.0,0.7811,13.5153,17.3031,74,07/01/2020,06/30/2023
HOLMES REGIONAL MEDICAL CENTER,FL,READM-30-COPD-HRRP,253.0,0.8087,16.2523,20.0968,28,07/01/2020,06/30/2023
JACKSON HEALTH SYSTEM,FL,READM-30-PN-HRRP,403.0,0.9578,18.1201,18.918,70,07/01/2020,06/30/2023
JACKSON HEALTH SYSTEM,FL,READM-30-COPD-HRRP,127.0,1.0242,23.1726,22.625,31,07/01/2020,06/30/2023
HCA FLORIDA CITRUS HOSPITAL,FL,READM-30-PN-HRRP,378.0,0.9306,15.5673,16.7276,54,07/01/2020,06/30/2023
HCA FLORIDA CITRUS HOSPITAL,FL,READM-30-COPD-HRRP,93.0,1.0009,17.1474,17.1325,16,07/01/2020,06/30/2023
SACRED HEART HOSPITAL,FL,READM-30-PN-HRRP,684.0,1.0363,18.2075,17.5704,127,07/01/2020,06/30/2023
SACRED HEART HOSPITAL,FL,READM-30-COPD-HRRP,150.0,1.0006,18.6422,18.6312,28,07/01/2020,06/30/2023
ASCENSION SACRED HEART BAY,FL,READM-30-PN-HRRP,344.0,0.9455,15.3383,16.2219,49,07/01/2020,06/30/2023
ASCENSION SACRED HEART BAY,FL,READM-30-COPD-HRRP,97.0,1.0081,18.0491,17.9043,18,07/01/2020,06/30/2023
PARRISH MEDICAL CENTER,FL,READM-30-PN-HRRP,241.0,0.852,13.5484,15.9015,22,07/01/2020,06/30/2023
PARRISH MEDICAL CENTER,FL,READM-30-COPD-HRRP,94.0,1.0169,18.0551,17.7544,18,07/01/2020,06/30/2023
STEWARD NORTH SHORE MEDICAL CENTER,FL,READM-30-PN-HRRP,258.0,1.0174,19.2933,18.9639,51,07/01/2020,06/30/2023
STEWARD NORTH SHORE MEDICAL CENTER,FL,READM-30-COPD-HRRP,70.0,0.9809,18.8862,19.2535,12,07/01/2020,06/30/2023
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,FL,READM-30-PN-HRRP,263.0,0.9197,15.0795,16.3963,34,07/01/2020,06/30/2023
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,FL,READM-30-COPD-HRRP,82.0,1.0916,21.1848,19.4065,23,07/01/2020,06/30/2023
ORLANDO HEALTH BAYFRONT HOSPITAL,FL,READM-30-PN-HRRP,153.0,0.9656,15.9358,16.5028,22,07/01/2020,06/30/2023
ORLANDO HEALTH BAYFRONT HOSPITAL,FL,READM-30-COPD-HRRP,56.0,1.0537,20.8077,19.7468,15,07/01/2020,06/30/2023
"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",FL,READM-30-PN-HRRP,189.0,1.0505,17.2637,16.4335,36,07/01/2020,06/30/2023
"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",FL,READM-30-COPD-HRRP,,0.9159,16.2454,17.7376,Too Few to Report,07/01/2020,06/30/2023
MANATEE MEMORIAL HOSPITAL,FL,READM-30-PN-HRRP,334.0,0.9923,16.3254,16.4526,54,07/01/2020,06/30/2023
